Dataset,Cell group,Baseline AUC,Baseline AP,Full 5hmC2Stage AUC,Full 5hmC2Stage AP,Mean test rows,Mean positives
PBMC,B,0.5509 ± 0.0268,0.5863 ± 0.0362,0.9187 ± 0.0100,0.9200 ± 0.0142,14528.8,6865.2
PBMC,Monocytes,0.5534 ± 0.0286,0.6048 ± 0.0392,0.9244 ± 0.0077,0.9328 ± 0.0116,14528.8,7167.0
PBMC,NK,0.5538 ± 0.0277,0.6048 ± 0.0382,0.9248 ± 0.0074,0.9329 ± 0.0115,14528.8,7166.8
PBMC,T_naive,0.5521 ± 0.0252,0.5816 ± 0.0326,0.9150 ± 0.0117,0.9145 ± 0.0155,14528.8,6750.0
PBMC,T_reg,0.5524 ± 0.0280,0.6011 ± 0.0389,0.9232 ± 0.0082,0.9312 ± 0.0119,14528.8,7131.6
