seed,n_train,n_val,n_test,val_spearman_best,test_spearman,test_pearson,test_rmse,test_mae,macro_mean_spearman,macro_median_spearman,macro_mean_pearson,macro_median_pearson,n_groups
42,4047,556,1202,0.6909490210329793,0.7181498377092655,0.9470546173607948,0.6966533981960099,0.25327137397437943,0.7319198518985583,0.7544102321296996,0.950214199396389,0.9562831961997678,11
52,4047,556,1202,0.6877781760340117,0.6960030645281251,0.9212352367533017,0.8358998576912364,0.3268974996585447,0.7108883479818648,0.7454244107742921,0.9266920099412659,0.9408189530139234,11
62,4047,556,1202,0.6762497056809442,0.6840707441972528,0.8994014016633576,0.9288522105446367,0.39595275796243234,0.7015264518905746,0.7090874622956136,0.9076436953754733,0.9152134506655647,11
72,4047,556,1202,0.6839368079508091,0.6916273591098764,0.9176145365254044,0.8462344779426958,0.3265674675934128,0.7069775005852017,0.7368019403293362,0.9250357229218291,0.933465232138635,11
82,4047,556,1202,0.6685037864771132,0.6589725523275415,0.8884426177962484,0.9758931669356594,0.42677103081398865,0.6771506706039445,0.6634721472469042,0.8962880587753723,0.8947562264117728,11
